idx,Protein Source,Description,Nutritional Benefits,Common Uses,Label
0,Lentils,"Small, green legume with high protein content.","Rich in iron, folate, and potassium.","Used in soups, stews, and salads.",Complete Protein
1,Chickpeas,Bold-flavored bean with a good amount of protein.,"Contains protein, fiber, and minerals like magnesium and zinc.","Found in hummus, salads, and curries.",Legume Protein
2,Quinoa,Sprouted seed with a balanced amino acid profile.,"High in fiber, magnesium, B vitamins, iron, potassium, calcium, phosphorus, vitamin E, and various beneficial antioxidants.",Can be eaten as a grain or used in salads and vegan meat substitutes.,Complete Protein
3,Hemp Seeds,"Seeds from the hemp plant, containing all nine essential amino acids.","Rich in omega-3 and omega-6 fatty acids, protein, and fiber.","Can be added to smoothies, oatmeal, and salads.",Complete Protein
4,Spirulina,"Blue-green algae, packed with protein, vitamins B1, B2, B3, copper, and manganese.",High in protein and antioxidants.,Available as a supplement or added to juices and smoothies.,Microalgae Protein
5,Black Beans,"A versatile legume, known for its high protein and fiber content.","Contains iron, magnesium, and potassium.","Usable in chili, burritos, and black bean soup.",Complete Protein
6,Black Beans,A nutritious and protein-rich legume.,"High in fiber, iron, and antioxidants.","Used in burritos, tacos, and as a side dish.",Legume Protein
7,Chlorella,"Green, single-celled microalgae known for its high protein content.","Rich in chlorophyll, vitamins, minerals, and antioxidants.",Can be used as a supplement or added to smoothies and pancakes.,Microalgae Protein
8,Tofu,"Soft, silken, or firm tofu made from condensed soy milk.","Rich in protein, calcium, iron, and isoflavones.","Used in stir-fries, scrambles, and smoothies.",Complete Protein
9,Edamame,"Young soybeans, harvested before full maturity.","High in protein, fiber, and antioxidants.","Typically served as a snack, added to salads, or in soups.",Legume Protein
10,Nori,"Red algae used in sushi, high in protein and iodine.","Rich in protein, calcium, magnesium, and various vitamins.",Typically used as a wrap for sushi or added to soups and stews.,Seaweed Protein
11,Tempeh,Fermented soybean product with a nutty flavor.,"Provides high-quality protein, probiotics, and vitamins B2 and B3.","Used in stir-fries, sandwiches, and as a meat substitute.",Complete Protein
12,Adzuki Beans,"Small red beans, commonly used in East Asian cuisine.","Rich in protein, iron, and antioxidants.","Found in soups, desserts, and rice dishes.",Legume Protein
13,Arthrospira (Spirulina),"Ocean-dwelling cyanobacteria, also known as 'blue-green algae'.","High in protein, B vitamins, antioxidants, iron, and magnesium.","Supplements, powders, and health food stores.",Complete Protein
14,Tempeh,Fermented soybean product with a nutty flavor.,"Contains isoflavones, probiotics, and protein.","Often used in stir-fries, sandwiches, and as a meat substitute.",Complete Protein
15,Green Peas,"Sweet, green legumes that are not only tasty but also rich in protein.","Contain carbohydrates, protein, vitamins A, C, and K.","Can be cooked and eaten as a side dish, added to soups and salads.",Complete Protein
16,Pinto Beans,Another nutrient-dense legume with a creamy texture.,"Contains protein, fiber, and minerals like iron and potassium.","Served in bean soups, refried beans, and salads.",Legume Protein
17,Spirulina,"Blue-green, spiral-shaped microalgae, recognized for its nutritional density.","Contains protein, vitamins B1, B2, B3, copper, and manganese.",Commonly found in nutritional supplements and health food stores.,Microalgae Protein
18,Tempeh,Fermented whole soybeans that have a nutty flavor and firm texture.,"High in protein, fiber, and probiotics.","Can be grilled, sautéed, or added to stews.",Complete Protein
19,Kidney Beans,"Large beans with a meaty texture, often used in chili and stews.","Rich in protein, fiber, and iron.","Common in chili, salads, burritos, and bean tacos.",Legume Protein
20,Aphanizomenon flos-aquae,"Ocean-harvested microalgae, known for its antioxidant properties.","Contains essential amino acids, omega-3 fatty acids, and vitamins.",Can be taken as a supplement or mixed into smoothies.,Algal Supplement
21,Chia Seeds,"Tiny seeds high in protein, omega-3 fatty acids, and fiber.","Supports heart health, aids in digestion, and improves skin elasticity.","Incorporated into puddings, smoothies, and energy bars.",Complete Protein
22,Fava Beans,"Large, buttery beans, a staple in Mediterranean and Middle Eastern dishes.","Contains folate, iron, and complex carbohydrates.","Incorporated in stews, hummus, and salads.",Legume Protein
23,Chlorella,Green microalgae that grows in freshwater.,"Rich in chlorophyll, vitamins A, C, E, and K, minerals, and protein.","Used in supplements, energy drinks, and as a dietary additive.",Complete Protein
24,Buckwheat,"High-protein, gluten-free seed.","Rich in fiber, manganese, and thiamine.","Can be consumed as porridge, crepes, or as flour.",Complete Protein
25,Almonds,"Kernel of the almond tree, offering a good source of protein and healthy fats.","High in vitamin E, magnesium, and manganese.","Often eaten as a snack, added to trail mixes, or used in baking.",Nut Protein
26,Navy Beans,Small and versatile beans that are rich in protein and fiber.,"Good source of protein, iron, and folate.","Incorporated in baked beans, soups, and stews.",Legume Protein
27,Dunaliella Salina,Red algae known for its high beta-carotene content.,"Rich in antioxidants, vitamin A, and omega-3 fatty acids.",Often used in health supplements and as a nutritional additive.,Microalgae Protein
28,Seitan,Wheat gluten made by washing wheat flour dough with water until all the starch granules have been removed.,"Rich in protein, low in fat, and contains all nine essential amino acids.","Used in stir-fries, sandwiches, and as a meat substitute.",Complete Protein
29,Black Beans,"Small, dark beans with a rich, earthy flavor.","High in protein, fiber, folate, and iron.","Frequently used in burritos, tacos, and salads.",Legume Protein
30,Isochrysis galbana,"A type of microalgae, used for feeding in aquaculture.","High in protein, fatty acids, and antioxidants.",Used in aquaculture to promote healthy fish growth.,Aquaculture Feed
31,Peas,"Nutritious legume that is a good source of protein, vitamins, and minerals.","High in protein, vitamin C, and iron.","Added to soups, casseroles, and salads.",Complete Protein
32,Pinto Beans,"Orange, kidney-shaped beans with a robust flavor, often used in Mexican cuisine.","High in fiber, protein, and various minerals.","Used in burritos, refried beans, and bean salads.",Legume Protein
33,Haematococcus pluvialis,Blue-green algae known for its high astaxanthin content.,"Rich in astaxanthin, a powerful antioxidant.",Available in supplements and aquatic foods for coloring and nutritional benefits.,Antioxidant
34,Spirulina Powder,Dried and powdered form of blue-green algae.,"Contains protein, B vitamins, and iron.","Added to shakes, smoothies, and baked goods.",Microalgae Protein
35,Hemp Oil,"Derived from hemp seeds, known for its healthy fats and omega-3 fatty acids.","Rich in protein, omega-3 and omega-6 fatty acids, and antioxidants.",Used as a supplement or added to dressings and sauces.,Complete Protein
36,Adzuki Beans,Red beans from Asia with a nutty flavor.,"Packed with protein, fiber, and antioxidants.","Used in desserts, curries, and rice dishes.",Legume Protein
37,Isochrysis galbana,"Yellow-green microalgae, often used as a dietary supplement for aquaculture.","High in protein, fatty acids, and antioxidants.",Available in capsule form or as a dietary supplement.,Microalgae Protein
38,Black Beans,"Small, black legume with a nutty flavor and a firm texture.","High in protein, fiber, and contains antioxidants.","Used in soups, stews, and salads.",Legume Protein
39,Pinto Beans,"Oval-shaped beans with a mottled skin, used in traditional Mexican dishes.","Rich in protein, fiber, and essential minerals like iron and magnesium.","Used in burritos, refried beans, and Mexican rice dishes.",Legume Protein
40,Chlorella vulgaris,"Green algae, contains high levels of chlorophyll and protein.","Rich in vitamins, minerals, and antioxidants.",Commonly consumed as a dietary supplement.,Chlorophyll-Rich Protein
